Old Navy Relaxed-Fit T-Shirt,14.99
Sapiens: A Brief History of Humankind by Yuval Noah Harari,18.99
Biore UV Aqua Rich Watery Essence Sunscreen,15.0
Fitbit Versa 3,229.95
Amazon Echo Show 10,249.99
Breville Smart Grill,299.95
Gap High Rise Skinny Jeans,49.99
Atomic Habits by James Clear,16.99
CeraVe Hydrating Facial Cleanser,14.99
YETI Hopper Flip Portable Cooler,249.99
Apple iPad Air,599.99
Hamilton Beach FlexBrew Coffee Maker,89.99
Forever 21 Graphic Tee,12.99
The Subtle Art of Not Giving a F*ck by Mark Manson,14.99
NARS Radiant Creamy Concealer,30.0
Yeti Roadie 24 Cooler,199.99
Sony PlayStation 5,499.99
Dyson Supersonic Hair Dryer,399.99
Lululemon Align Leggings,98.0
The Four Agreements by Don Miguel Ruiz,8.99
Fenty Beauty Killawatt Highlighter,36.0
Hydro Flask Wide Mouth Water Bottle,39.95
Microsoft Surface Laptop 4,1299.99
Keurig K-Mini Coffee Maker,79.99
Gap Crewneck Sweatshirt,34.99
Think and Grow Rich by Napoleon Hill,9.99
The Ordinary Hyaluronic Acid Serum,6.8
Fitbit Inspire 2,99.95
Samsung Odyssey G9 Gaming Monitor,1499.99
Instant Pot Ultra,139.99
Adidas Essential Track Pants,44.99
The Power of Habit by Charles Duhigg,11.99
Clinique Dramatically Different Moisturizing Lotion,29.5
YETI Tundra 45 Cooler,299.99
Apple AirPods Max,549.0
Cuisinart Coffee Center,199.95
Levi's Sherpa Trucker Jacket,98.0
The Outsiders by S.E. Hinton,10.99
Laneige Water Sleeping Mask,25.0
Bose SoundSport Wireless Earbuds,149.99
Sony WH-1000XM4 Headphones,349.99
Ninja Foodi Pressure Cooker,199.99
Nike Sportswear Club Fleece Hoodie,54.99
The Night Circus by Erin Morgenstern,16.99
GlamGlow Supermud Clearing Treatment,59.0
Garmin Forerunner 245,299.99
Google Pixel 6 Pro,899.99
Breville Nespresso Creatista Plus,499.95
Under Armour Tech 2.0 T-Shirt,24.99
The Art of War by Sun Tzu,7.99
Youth to the People Superfood Antioxidant Cleanser,36.0
TriggerPoint GRID Foam Roller,34.99
Apple MacBook Air,1199.99
Cuisinart Custom 14-Cup Food Processor,199.99
Adidas 3-Stripes Shorts,29.99
The Hunger Games by Suzanne Collins,8.99
Neutrogena Hydro Boost Water Gel,16.99
Yeti Rambler Bottle,49.99
Samsung Odyssey G7 Gaming Monitor,699.99
Instant Pot Duo Evo Plus,139.99
Nike Tempo Running Shorts,34.99
The Girl with the Dragon Tattoo by Stieg Larsson,9.99
Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,29.5
Bowflex SelectTech 1090 Adjustable Dumbbells,699.99
Amazon Fire TV Stick 4K,49.99
Crock-Pot 6-Quart Slow Cooker,49.99
Uniqlo Airism Mesh Boxer Briefs,14.9
The Sun Also Rises by Ernest Hemingway,11.99
First Aid Beauty Ultra Repair Cream,34.0
Oakley Holbrook Sunglasses,146.0
Google Pixelbook Go,649.99
Dyson V8 Absolute,399.99
Levi's 511 Slim Fit Jeans,59.99
The Martian by Andy Weir,12.99
La Mer Crème de la Mer Moisturizer,190.0
Polar Vantage V2,499.95
Sonos Beam Soundbar,399.0
Anova Precision Cooker,199.0
Nike Dri-FIT Training Shorts,34.99
The Catcher in the Rye by J.D. Salinger,10.99
Glossier Cloud Paint,18.0
TRX All-in-One Suspension Training System,169.95
Logitech G Pro X Wireless Gaming Headset,199.99
Breville Smart Coffee Grinder Pro,199.95
Adidas Ultraboost Running Shoes,179.99
The Road by Cormac McCarthy,11.99
Tom Ford Black Orchid Perfume,125.0
GoPro HERO9 Black,449.99
Apple TV 4K,179.0
Instant Pot Duo Nova,99.95
Gap 1969 Original Fit Jeans,59.99
The Goldfinch by Donna Tartt,14.99
Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,52.0
Yeti Tundra Haul Portable Wheeled Cooler,399.99
Samsung Galaxy Watch 4,299.99
KitchenAid Stand Mixer,379.99
Lululemon Wunder Under High-Rise Leggings,98.0
The Great Alone by Kristin Hannah,16.99
Caudalie Vinoperfect Radiance Serum,79.0
Bose SoundLink Color Bluetooth Speaker II,129.0
Canon EOS Rebel T7i DSLR Camera,749.99
Keurig K-Elite Coffee Maker,169.99
Uniqlo Airism Seamless Boxer Briefs,9.9
The Girl with the Dragon Tattoo by Stieg Larsson,10.99
L'Occitane Shea Butter Hand Cream,29.0
YETI Tundra 65 Cooler,349.99
Apple MacBook Pro 16-inch,2399.0
iRobot Braava Jet M6,449.99
Champion Reverse Weave Hoodie,49.99
The Nightingale by Kristin Hannah,12.99
Tarte Shape Tape Concealer,27.0
Garmin Forerunner 945,599.99
Amazon Echo Dot (4th Gen),49.99
Philips Sonicare DiamondClean Toothbrush,229.99
Old Navy Mid-Rise Rockstar Super Skinny Jeans,44.99
The Silent Patient by Alex Michaelides,26.99
The Ordinary Caffeine Solution 5% + EGCG,6.7
Fitbit Luxe,149.95
Google Nest Wifi Router,169.0
Anova Precision Oven,599.0
Adidas Originals Trefoil Hoodie,64.99
Dune by Frank Herbert,9.99
Fresh Sugar Lip Treatment,24.0
Hydro Flask Standard Mouth Water Bottle,32.95
Bose QuietComfort 35 II Wireless Headphones,299.0
Nespresso Vertuo Next Coffee and Espresso Maker,159.99
Nike Air Force 1 Sneakers,90.0
The Handmaid's Tale by Margaret Atwood,10.99
Sunday Riley Luna Sleeping Night Oil,55.0
Yeti Rambler 20 oz Tumbler,29.99
